method,policy,checkpoint,repeat,average_query_shots,low_shots,high_shots,offline_quantum_shots,weight_low,weight_high,mae_F_e,rmse_F_e,bias_F_e,pearson
fixed_hybrid,fixed,bidir_seed0,3,32,32,32,6144,0.4459742339396706,0.4459742339396706,0.06478761952599703,0.0826748167617228,0.015415656120185278,0.9130630916510388
fixed_dfe,fixed,bidir_seed0,3,32,32,32,0,,,0.08997993931610374,0.11321528006900325,0.0007220908393344236,0.8664375981348366
adaptive_hybrid,random,bidir_seed0,3,32,16,48,6144,0.16524256736586276,0.26390606906241115,0.07162681998206029,0.09578116533468496,0.022092003978600422,0.8859036663951626
adaptive_dfe,random,bidir_seed0,3,32,16,48,0,,,0.0998782162664202,0.12872851345112613,0.00416331107742966,0.8398643265653274
adaptive_hybrid,width,bidir_seed0,3,32,16,48,6144,0.061064781492575534,0.5427924082435233,0.06622585579921421,0.09107492252355506,0.017851818781211386,0.8949448584419627
adaptive_dfe,width,bidir_seed0,3,32,16,48,0,,,0.10150878400499957,0.1317500036166581,0.0014764724530910334,0.8315402849409497
adaptive_hybrid,disagreement,bidir_seed0,3,32,16,48,6144,0.03508996179270854,0.5366656176958053,0.0661572584752367,0.08708672906640333,0.01639675129213791,0.9034194106525739
adaptive_dfe,disagreement,bidir_seed0,3,32,16,48,0,,,0.09076128027675348,0.11559815664588648,0.0027372198075883893,0.8578508024881711
adaptive_hybrid,combined,bidir_seed0,3,32,16,48,6144,0.07540237944834133,0.5555239247158217,0.06392341105616187,0.08330591792319039,0.013270326716464057,0.912883300416314
adaptive_dfe,combined,bidir_seed0,3,32,16,48,0,,,0.09425768137369896,0.11942322452339198,0.00697415763827622,0.8553230921244482
fixed_hybrid,fixed,bidir_seed0,3,64,64,64,8192,0.575518698143952,0.575518698143952,0.053237335979512496,0.06787929895889121,0.010177885034912765,0.9420041058956211
fixed_dfe,fixed,bidir_seed0,3,64,64,64,0,,,0.06386876122338608,0.08030898047777875,-0.002409109557490973,0.9263641817954643
fixed_dfe,fixed,bidir_seed0,3,128,128,128,0,,,0.04430747409498999,0.05598425495242081,0.0005322036865566458,0.9622623083142929
adaptive_hybrid,random,bidir_seed0,3,64,32,96,8192,0.48671193411540165,0.8012849799632862,0.055813374205056096,0.07124244131038066,0.010392502618301928,0.9345403761536684
adaptive_dfe,random,bidir_seed0,3,64,32,96,0,,,0.0713901207394277,0.0921004264574,-0.00012529672680314317,0.9082701223560111
adaptive_hybrid,width,bidir_seed0,3,64,32,96,8192,0.11777389194525312,0.8135905060318366,0.05663354203281627,0.08033153559748571,0.013033664987689871,0.9173304874133489
adaptive_dfe,width,bidir_seed0,3,64,32,96,0,,,0.07095308744141625,0.09215349778852888,0.0019260012229323066,0.9081035409234393
adaptive_hybrid,disagreement,bidir_seed0,3,64,32,96,8192,0.19688421025719233,0.7506930780881909,0.05586649776806805,0.07331515519624929,0.011892451852604137,0.9317532151977777
adaptive_dfe,disagreement,bidir_seed0,3,64,32,96,0,,,0.0685616471433874,0.08771639082798957,0.0005567469239905091,0.9119479611288602
adaptive_hybrid,combined,bidir_seed0,3,64,32,96,8192,0.356030240330587,0.7402246972091248,0.052360119852896986,0.06762519469241889,0.009240971974310102,0.9420225169997403
adaptive_dfe,combined,bidir_seed0,3,64,32,96,0,,,0.0695704609770377,0.08951473320875299,0.0032332515536201375,0.9114871889888314
fixed_hybrid,fixed,bidir_seed0,4,32,32,32,6144,0.3995693628986979,0.3995693628986979,0.06548434921646981,0.08403177328417052,0.01468617322408026,0.9100757616425827
fixed_dfe,fixed,bidir_seed0,4,32,32,32,0,,,0.09025283775196248,0.11328276313943618,0.0036672793313979155,0.8649788962684702
adaptive_hybrid,random,bidir_seed0,4,32,16,48,6144,0.2270698474162394,0.520751881978546,0.06668490496635367,0.08696022657668458,0.01400634041426674,0.9022140696341503
adaptive_dfe,random,bidir_seed0,4,32,16,48,0,,,0.10239991216326536,0.1324600766234286,0.00014338713563071735,0.8300365235892887
adaptive_hybrid,width,bidir_seed0,4,32,16,48,6144,0.2946810446623063,0.6004525804328557,0.06334530900509408,0.0821461122408997,0.013017636327876664,0.9131349046835786
adaptive_dfe,width,bidir_seed0,4,32,16,48,0,,,0.10176837562753391,0.13145965855287015,0.002427199966318547,0.8337927164754356
adaptive_hybrid,disagreement,bidir_seed0,4,32,16,48,6144,0.2540315140567325,0.5733489799388692,0.06410480095820856,0.08230976115643433,0.011058440104574936,0.9119772691116234
adaptive_dfe,disagreement,bidir_seed0,4,32,16,48,0,,,0.09189402926269741,0.11590344989737598,-0.0005076545310359489,0.8563981118363772
adaptive_hybrid,combined,bidir_seed0,4,32,16,48,6144,0.11329960177730783,0.744531851837163,0.06288640675556682,0.08213857344451865,0.006573817747915775,0.9107205918416349
adaptive_dfe,combined,bidir_seed0,4,32,16,48,0,,,0.09547796487012415,0.12108904831766226,0.004948694675313258,0.8491727669979521
fixed_hybrid,fixed,bidir_seed0,4,64,64,64,8192,0.6867416728634077,0.6867416728634077,0.05331473913447468,0.06678300100023643,0.008340924128496298,0.9423802164659799
fixed_dfe,fixed,bidir_seed0,4,64,64,64,0,,,0.06476463584251524,0.0817110094658989,0.0021016791329852174,0.9239606827794064
fixed_dfe,fixed,bidir_seed0,4,128,128,128,0,,,0.04425985098535579,0.05568507356057349,-0.0005567410059036717,0.9627588457028121
