method,prior,calibration,per_query_shots,mae_mean,mae_std,rmse_mean,weight_mean,weight_std,offline_shots,runs
measurement_conditioned_hybrid,summary_ridge,exact_labels,32,0.0672651812537256,0.00040958017124340427,0.08343366814308395,0.48914819818919586,0.055140818725174456,2048,5
measurement_conditioned_hybrid,summary_ridge,exact_labels,48,0.059203363805742835,0.0005271272535495757,0.0737482080583894,0.6004919291837794,0.04310407937305319,3072,5
measurement_conditioned_hybrid,summary_ridge,exact_labels,64,0.05411009919105549,0.0002833744017409799,0.06752385902900852,0.6868736874362019,0.0301815381227154,4096,5
measurement_conditioned_hybrid,summary_ridge,exact_labels,96,0.046640638056924436,0.0005876657150509912,0.058080992402259925,0.7712803255142756,0.022740921977903436,6144,5
measurement_conditioned_hybrid,summary_ridge,exact_labels,128,0.04152680945349381,0.0003641400329633934,0.05197867858998597,0.8141198636527257,0.042490656191185666,8192,5
measurement_conditioned_hybrid,summary_ridge,finite_64shot_labels,4,0.09461078735137017,0.005139366707215944,0.11657641916845893,0.08183593534608682,0.05289099630812142,4352,5
measurement_conditioned_hybrid,summary_ridge,finite_64shot_labels,8,0.08680945738780481,0.002934728051727184,0.10781234697383704,0.2350469797785947,0.030616154552795517,4608,5
measurement_conditioned_hybrid,summary_ridge,finite_64shot_labels,16,0.08053902195216987,0.0050465213023618,0.09956483535587778,0.3341707916720288,0.0923261575248311,5120,5
measurement_conditioned_hybrid,summary_ridge,finite_64shot_labels,32,0.06832059166070373,0.0026757216914350076,0.08471355716711546,0.48592323495545786,0.05371711844577653,6144,5
measurement_conditioned_hybrid,summary_ridge,finite_64shot_labels,48,0.06046078743089952,0.001613376078868699,0.07530427315952777,0.5749087484222958,0.07428726630896047,7168,5
measurement_conditioned_hybrid,summary_ridge,finite_64shot_labels,64,0.05566795658093968,0.0023905794390717237,0.06957941221870345,0.694870854344591,0.11180246847473915,8192,5
measurement_conditioned_hybrid,summary_ridge,finite_64shot_labels,96,0.04846881411168452,0.0023519970527760246,0.06030675915558764,0.7175141433195079,0.10047717613083054,10240,5
measurement_conditioned_hybrid,summary_ridge,finite_64shot_labels,128,0.04383401647611882,0.002754417027138129,0.054720806619011186,0.799128667713217,0.134917466643539,12288,5
stratified_dfe,none,none,4,0.27549187929059066,0.0028712391434362597,0.3215995215973676,1.0,0.0,0,5
stratified_dfe,none,none,8,0.185599628861417,0.002098977296424731,0.2275784163683824,1.0,0.0,0,5
stratified_dfe,none,none,16,0.12985549409622474,0.0014520903868400026,0.1617994141983355,1.0,0.0,0,5
stratified_dfe,none,none,32,0.09094170601262401,0.0012163799202114594,0.11407522434273727,1.0,0.0,0,5
stratified_dfe,none,none,48,0.07430892633286516,0.0013264685614972928,0.0932988773898217,1.0,0.0,0,5
stratified_dfe,none,none,64,0.06413913258085294,0.0005034094300227363,0.08075930183608275,1.0,0.0,0,5
stratified_dfe,none,none,96,0.05252345649651178,0.00041276235750848533,0.06616687648231924,1.0,0.0,0,5
stratified_dfe,none,none,128,0.045491653455731765,0.00042567404095787117,0.057275192006464096,1.0,0.0,0,5
