model,n_calib,n_test,split_seed,ridge,mae_F_e,rmse_F_e,bias_F_e,pearson
bidir_seed4_raw,32,7968,20260806,,0.3814635216230414,0.4118893432230816,0.3814635216230414,0.8249315266724466
bidir_seed4_affine,32,7968,20260806,,0.08777528591945731,0.1223018957068771,0.048219214913927194,0.824931526672447
product_raw,64,7936,20260806,,0.4343546623544347,0.46411071382363706,0.4343546623544347,0.7291537095752703
exact_observed_marginals,64,7936,20260806,,0.4424033649234408,0.47261863333513304,0.4424033649234408,0.7445751786585088
constant_cal_median,64,7936,20260806,,0.16078460384010068,0.20220235762694544,-0.04090186534449458,
product_affine,64,7936,20260806,,0.11111848578815268,0.13570455164308137,-0.0011321553551715089,0.7291537095752704
exact_marginals_affine,64,7936,20260806,,0.1079187423930986,0.13233300766520886,-0.0006310424072298769,0.7445751786585086
summary_ridge,64,7936,20260806,1.0,0.10013316717087521,0.12292062898382247,-0.006455662815345327,0.7846982805272078
oracle_eta_ridge,64,7936,20260806,1.0,0.08636713895596212,0.10189247331707352,-0.01475647182382704,0.8616860088505429
fidelityno_seed0_raw,64,7936,20260806,,0.38663310326275324,0.41785314351969616,0.38663310326275324,0.7943736581549836
fidelityno_seed0_affine,64,7936,20260806,,0.09243296701934896,0.12178823738539779,0.0192351523155956,0.794470695055683
fidelityno_seed1_raw,64,7936,20260806,,0.3857107948842308,0.41684782293938943,0.3857107948842308,0.7982724761360381
fidelityno_seed1_affine,64,7936,20260806,,0.0917424303611743,0.12082189144357877,0.019408155611840373,0.7983674015012694
fidelityno_seed2_raw,64,7936,20260806,,0.3870949934747431,0.41813778916535255,0.3870949934747431,0.8031127226068742
fidelityno_seed2_affine,64,7936,20260806,,0.0905034451621159,0.1195364608941888,0.019274501845073917,0.8031877920213697
fidelityno_seed3_raw,64,7936,20260806,,0.3885894898745802,0.41979671190030554,0.3885894898745802,0.7959894050815661
fidelityno_seed3_affine,64,7936,20260806,,0.0922899538890804,0.12141829964474746,0.01950775565927552,0.7961025516008023
fidelityno_seed4_raw,64,7936,20260806,,0.3868521663675746,0.41804835622136494,0.3868521663675746,0.8067533083615622
fidelityno_seed4_affine,64,7936,20260806,,0.08951990612129651,0.11864986374345315,0.01972925439804101,0.8068359826835689
bidir_seed0_raw,64,7936,20260806,,0.3809773265534351,0.41126776069259663,0.3809773265534351,0.8224574208093888
bidir_seed0_affine,64,7936,20260806,,0.08610439544697257,0.11374711760123614,0.015037348398580418,0.822465071029577
bidir_seed1_raw,64,7936,20260806,,0.38438163481412396,0.41483336921168423,0.38438163481412396,0.8130807071052167
