base_index,length,fidelity_min,fidelity_max,ambiguity_diameter,minimax_abs_lower_bound,bayes_mae_lower_bound
493,16,0.04326250025669018,0.40112731322320616,0.35786481296651595,0.17893240648325798,0.09379061909878518
494,24,0.278368729875501,0.4163401035267552,0.13797137365125423,0.06898568682562711,0.03576617562847697
495,24,0.3252309640955843,0.4130210260552699,0.08779006195968564,0.04389503097984282,0.023323714545292015
496,24,0.24694029564688522,0.4312352231349652,0.18429492748808,0.09214746374404,0.04713563289731506
497,8,0.6442902064038727,0.7417631038694779,0.09747289746560517,0.048736448732802584,0.02592015078012219
498,24,0.13624797052712928,0.4351520674741427,0.2989040969470134,0.1494520484735067,0.07648631389048945
499,24,0.19628469490239944,0.4261098004622614,0.22982510555986194,0.11491255277993097,0.05920877961631308
500,16,0.2961169321764201,0.6060436595202628,0.30992672734384275,0.15496336367192137,0.08114026234764125
501,24,0.3085691834152481,0.4262490083734055,0.11767982495815743,0.058839912479078715,0.030480741611252107
502,16,0.3128910109896412,0.5943397358153086,0.2814487248256674,0.1407243624128337,0.07403748617597387
503,8,0.5234426639155153,0.6577031789680572,0.13426051505254188,0.06713025752627094,0.03568930004784973
504,16,0.04660866746670925,0.39102431171685803,0.3444156442501488,0.1722078221250744,0.09048993197898442
505,8,0.6528437765314652,0.7416979332529847,0.08885415672151953,0.044427078360759764,0.02363645434303036
506,8,0.4375017069770314,0.5973132647445258,0.15981155776749445,0.07990577888374722,0.042473369061265545
507,24,0.10833644071811907,0.44920966582624744,0.34087322510812834,0.17043661255406417,0.08627543552268947
508,16,0.033514865398461546,0.3518148886956409,0.3183000232971794,0.1591500116485897,0.08380510380733554
509,16,0.031687524930017946,0.33832809198121927,0.30664056705120135,0.15332028352560068,0.08084363373348591
510,8,0.6854249922656974,0.7722099345118407,0.0867849422461433,0.04339247112307165,0.023076094668144028
511,8,0.5955142591698134,0.7159398542659565,0.12042559509614315,0.06021279754807157,0.03199339867397018
512,24,0.250835645035844,0.4228536677996638,0.17201802276381983,0.08600901138190992,0.04415165920140785
513,8,0.7441756092716154,0.8243386803948094,0.08016307112319399,0.04008153556159699,0.021273101353176734
514,24,0.247017430156684,0.40366063949105524,0.15664320933437123,0.07832160466718562,0.041152127807381506
515,16,0.08185432690052832,0.41931151462594973,0.33745718772542144,0.16872859386271072,0.0887893800958174
516,16,0.15964148083077395,0.480670580825254,0.32102909999448004,0.16051454999724002,0.08453802375573842
517,24,0.3938637178479245,0.4222209999480572,0.028357282100132664,0.014178641050066332,0.006743785011943226
518,24,0.17233697805236617,0.4129975422190126,0.2406605641666464,0.1203302820833232,0.06219061770103387
519,16,0.13302181827859907,0.4687086775937418,0.33568685931514275,0.16784342965757137,0.0883158678812038
520,8,0.6234495642401225,0.7361196871832594,0.11267012294313683,0.056335061471568415,0.02993109095376744
521,8,0.620735552450094,0.7191368395200906,0.09840128706999651,0.049200643534998256,0.026177492413706045
522,24,0.31042322702386804,0.417390459480562,0.10696723245669398,0.05348361622834699,0.02815780445910104
523,24,0.18283766797981135,0.43153627899755564,0.2486986110177443,0.12434930550887215,0.06337163337059386
524,24,0.39624203879864134,0.4260431667214939,0.029801127922852555,0.014900563961426277,0.006266917108636446
525,24,0.05653254383558401,0.4336841294057314,0.3771515855701474,0.1885757927850737,0.09786470380163012
526,24,0.19914911927263076,0.42199820954066025,0.2228490902680295,0.11142454513401474,0.05731276973890244
527,24,0.22074615164385863,0.3976009142797343,0.17685476263587568,0.08842738131793784,0.0461001373024887
528,24,0.3612701322858988,0.4235613808405896,0.06229124855469076,0.03114562427734538,0.016455492262761214
529,24,0.055456006082679726,0.44033358060831684,0.3848775745256371,0.19243878726281854,0.09961355300698502
530,24,0.2111753138251667,0.398721387940494,0.1875460741153273,0.09377303705766366,0.04927077211728605
531,24,0.12093534312209933,0.42491786800326115,0.30398252488116184,0.15199126244058092,0.07843753930733263
532,16,0.0957298110306482,0.43917361959893286,0.34344380856828466,0.17172190428414233,0.09031639910188544
533,16,0.21865582105353684,0.5414981822864662,0.3228423612329293,0.16142118061646465,0.08476783673168403
534,8,0.56216499359493,0.6878070470298647,0.12564205343493473,0.06282102671746737,0.03339031129794519
535,24,0.2327745865264572,0.3995787009477089,0.16680411442125173,0.08340205721062587,0.04368275159690433
536,8,0.5703239813295745,0.6911323221028374,0.12080834077326286,0.06040417038663143,0.03211696046005971
537,8,0.5477981669464014,0.6774252553484281,0.12962708840202675,0.06481354420101337,0.03445003292729354
