model,n_calib,shots_per_label,total_calibration_shots,mae_noisy_mean,mae_noisy_std,mae_exact,penalty_mean
bidir_seed2,16,32,512,0.09546541328785992,0.011604351067431608,0.09255976679808248,0.0029056464897774387
bidir_seed2,16,64,1024,0.08694238103867603,0.003677747141990718,0.09255976679808248,-0.005617385759406443
bidir_seed2,16,128,2048,0.09304115270453114,0.005077145191058008,0.09255976679808248,0.0004813859064486642
bidir_seed2,16,512,8192,0.09216142212867326,0.0023461681646410114,0.09255976679808248,-0.0003983446694092174
bidir_seed2,32,16,512,0.10387899198152398,0.0042222572870644496,0.08815827118460912,0.01572072079691486
bidir_seed2,32,32,1024,0.0927137922016352,0.008866793061888327,0.08815827118460912,0.004555521017026077
bidir_seed2,32,64,2048,0.08653357207454043,0.0030454948240561637,0.08815827118460912,-0.0016246991100686836
bidir_seed2,32,128,4096,0.08847528908827348,0.0017343203829161566,0.08815827118460912,0.00031701790366436833
bidir_seed2,32,512,16384,0.08751280728490785,0.0008420390306427117,0.08815827118460912,-0.0006454638997012735
bidir_seed2,64,16,1024,0.09148871569248236,0.007237569745819571,0.08601845437757337,0.005470261314908992
bidir_seed2,64,32,2048,0.09030414787235046,0.0058473979913731015,0.08601845437757337,0.004285693494777096
bidir_seed2,64,64,4096,0.08655212971873087,0.0024312261598889388,0.08601845437757337,0.0005336753411575052
bidir_seed2,64,128,8192,0.08488594939959462,0.000528223745223096,0.08601845437757337,-0.0011325049779787571
bidir_seed2,64,512,32768,0.08584258592582335,0.0013509773825295494,0.08601845437757337,-0.00017586845175002753
bidir_seed2,128,16,2048,0.09142419194282948,0.006557909393140945,0.08796645626239247,0.003457735680437013
bidir_seed2,128,32,4096,0.08796950153692537,0.004209092647338396,0.08796645626239247,3.045274532897935e-06
bidir_seed2,128,64,8192,0.08894681255502043,0.0017774048996551284,0.08796645626239247,0.0009803562926279596
bidir_seed2,128,128,16384,0.08596085902350767,0.0007408726137104092,0.08796645626239247,-0.002005597238884793
bidir_seed2,128,512,65536,0.0879812034423498,0.0006430994600599757,0.08796645626239247,1.4747179957341761e-05
bidir_seed3,16,16,256,0.12281597525253041,0.018520680889132477,0.09357931645298719,0.0292366587995432
bidir_seed3,16,32,512,0.09621494179691695,0.012383044492932226,0.09357931645298719,0.002635625343929751
bidir_seed3,16,64,1024,0.08760589248458149,0.00412549566150798,0.09357931645298719,-0.005973423968405689
bidir_seed3,16,128,2048,0.09374791879821474,0.004775395824111062,0.09357931645298719,0.00016860234522756424
bidir_seed3,16,512,8192,0.09310103986011843,0.002413623302084479,0.09357931645298719,-0.0004782765928687593
bidir_seed3,32,16,512,0.10364102760637428,0.004105436073229532,0.08811942765793149,0.015521599948442797
bidir_seed3,32,32,1024,0.09278324193596448,0.008974505367050072,0.08811942765793149,0.004663814278032985
bidir_seed3,32,64,2048,0.08652436167073504,0.0030498506297235253,0.08811942765793149,-0.0015950659871964451
bidir_seed3,32,128,4096,0.0883165180028421,0.0016626245646374407,0.08811942765793149,0.00019709034491061927
bidir_seed3,32,512,16384,0.08748729973182395,0.0008543005224594711,0.08811942765793149,-0.0006321279261075313
bidir_seed3,64,16,1024,0.09198091067695982,0.007554281991335483,0.0865502101432856,0.005430700533674229
bidir_seed3,64,32,2048,0.09070191496400802,0.005949546274310937,0.0865502101432856,0.004151704820722427
bidir_seed3,64,64,4096,0.08707285023121983,0.00251828340990075,0.0865502101432856,0.0005226400879342258
bidir_seed3,64,128,8192,0.08530427617832101,0.0005451655378796664,0.0865502101432856,-0.001245933964964588
bidir_seed3,64,512,32768,0.08640901152498308,0.001439200187545992,0.0865502101432856,-0.0001411986183025099
bidir_seed3,128,16,2048,0.09174685644635194,0.006852134789496109,0.08834326005394762,0.003403596392404326
bidir_seed3,128,32,4096,0.08829108651068274,0.004401154189833276,0.08834326005394762,-5.217354326487456e-05
bidir_seed3,128,64,8192,0.08927308400449824,0.0017530652035773226,0.08834326005394762,0.0009298239505506206
bidir_seed3,128,128,16384,0.08626902459762875,0.0007731422173540448,0.08834326005394762,-0.0020742354563188627
bidir_seed3,128,512,65536,0.08837023837075175,0.0006767294927430651,0.08834326005394762,2.6978316804140977e-05
bidir_seed4,16,16,256,0.12205357714032657,0.0189507733198811,0.09212245739356438,0.029931119746762193
bidir_seed4,16,32,512,0.09500128845868086,0.011609226528608746,0.09212245739356438,0.0028788310651164774
bidir_seed4,16,64,1024,0.08646559423666632,0.0037564613370423806,0.09212245739356438,-0.0056568631568980595
bidir_seed4,16,128,2048,0.09259810324932338,0.005086854035849619,0.09212245739356438,0.0004756458557589993
bidir_seed4,16,512,8192,0.09172521682519279,0.0023682212888063107,0.09212245739356438,-0.0003972405683715957
