base_index,length,fidelity_min,fidelity_max,ambiguity_diameter,minimax_abs_lower_bound,bayes_mae_lower_bound,exact_marginal_fidelity,exact_composition_grid_mae,fraction_grid_error_above_0p05
61,8,0.6377013796115515,0.7246315749410606,0.08693019532950907,0.04346509766475454,0.023129002363049163,0.9281710834142568,0.244713737032424,1.0
62,8,0.7002375797496388,0.7741116992131503,0.07387411946351141,0.036937059731755706,0.01964766567770449,0.9326948574724147,0.19337501728726672,1.0
63,16,0.5449319262910723,0.633670955893465,0.08873902960239266,0.04436951480119633,0.023965411090750646,0.8806696355209271,0.2918510203779468,1.0
64,16,0.4723092524754543,0.5975849680351062,0.1252757155596519,0.06263785777982595,0.03361319198153132,0.8829532595146334,0.34634284415362226,1.0
65,8,0.7352156608247331,0.8002099871689703,0.06499432634423719,0.03249716317211859,0.017293238680039513,0.9453858225770012,0.17594195210425304,1.0
66,8,0.7633810367394135,0.8288623421769775,0.06548130543756403,0.032740652718782015,0.017401781155966408,0.9535682387299507,0.15526800525963852,1.0
67,8,0.7464075532947406,0.8136007486859023,0.06719319539116164,0.03359659769558082,0.017862282669580395,0.9479172445256265,0.1657858650174256,1.0
68,8,0.7729200954675449,0.8215143740942749,0.048594278626729936,0.024297139313364968,0.012937844487834327,0.9482978839581452,0.1499965181172317,1.0
69,24,0.5047641763693926,0.6328254569624703,0.12806128059307764,0.06403064029653882,0.026369801230080904,0.8062002109310906,0.2720292410350876,1.0
70,24,0.5132689890957611,0.5596298179909427,0.04636082889518156,0.02318041444759078,0.011684027777145944,0.856185429199146,0.3272692633654684,1.0
71,24,0.5088744733344194,0.6542256082666444,0.14535113493222507,0.07267556746611253,0.03256064606018861,0.8177525597032237,0.2732064232616046,1.0
72,8,0.7341256779625094,0.7981573733327592,0.06403169537024977,0.03201584768512489,0.017032587089937504,0.9420586472520314,0.17412814187556563,1.0
73,8,0.6354704916394887,0.7197516552290137,0.08428116358952509,0.042140581794762544,0.022433063231517756,0.9209300498963555,0.24124992327919634,1.0
74,16,0.5548576145116038,0.5818198507700301,0.02696223625842631,0.013481118129213154,0.006578312495870524,0.845886015456685,0.2825528936062891,1.0
75,24,0.4639943568224953,0.5764629927276347,0.11246863590513939,0.056234317952569696,0.02218388941374253,0.8022807794616057,0.31280017052342496,1.0
76,24,0.5289861216208923,0.6366110271607337,0.10762490553984139,0.05381245276992069,0.02177348140421187,0.817920030357456,0.26433894411300235,1.0
77,8,0.7934120754327657,0.8436850728707193,0.05027299743795355,0.025136498718976774,0.013376387436475682,0.9563718052299751,0.13647668947858488,1.0
78,24,0.5137787326415877,0.6106018377683259,0.0968231051267382,0.0484115525633691,0.01841995952040736,0.8412024079766818,0.30560169429442274,1.0
79,8,0.7247755752638642,0.7866993192127176,0.06192374394885347,0.030961871974426736,0.016479989439580713,0.9326037881064584,0.17530427918752492,1.0
80,24,0.5175366830164296,0.559471910332368,0.04193522731593835,0.020967613657969175,0.01069562582623956,0.8436917855447061,0.31181510702701826,1.0
81,8,0.7063028963857558,0.7805563962138211,0.07425349982806528,0.03712674991403264,0.01974699579742541,0.9415661940556288,0.19595302374198698,1.0
82,24,0.4785151079012183,0.7098527294473277,0.23133762154610937,0.11566881077305469,0.055827060538484255,0.756771309773714,0.21055480629833304,0.9333333333333333
83,24,0.5247423911589616,0.7165662220873642,0.1918238309284026,0.0959119154642013,0.04637346483296068,0.7788128238071952,0.19822870845751153,1.0
84,24,0.552954253294413,0.6137499961209427,0.060795742826529775,0.030397871413264888,0.011787983990091755,0.8389803837833565,0.27109227780412765,1.0
85,24,0.5101964729729958,0.7455367079886565,0.2353402350156607,0.11767011750783035,0.05679952307939216,0.7536343088476622,0.17365513212909836,0.9333333333333333
86,16,0.5161419779710064,0.6037699168644008,0.08762793889339449,0.04381396944669724,0.023834185216234895,0.879115627296107,0.3210840630142767,1.0
87,16,0.48459867173003174,0.6153726241882247,0.13077395245819295,0.06538697622909648,0.03505756649325053,0.8930572374064036,0.34083994895727077,1.0
88,16,0.5610316993146328,0.5901486859474963,0.02911698663286344,0.01455849331643172,0.007307070984665157,0.8529642967453099,0.2828451403620694,1.0
89,8,0.7996106328212077,0.8564121339267509,0.05680150110554316,0.02840075055277158,0.015092081023414743,0.9631942469544539,0.13323122159475434,1.0
90,16,0.5640735317432726,0.6127080105859759,0.04863447884270333,0.024317239421351666,0.013752141866412366,0.859524484036658,0.27671571837062564,1.0
91,16,0.5133948352386662,0.6269793292784416,0.11358449403977533,0.056792247019887665,0.030657916957350918,0.8851527050877317,0.31450368801104817,1.0
92,16,0.5735439980812911,0.7103996843143976,0.1368556862331065,0.06842784311655326,0.03620033544865275,0.9174528067868887,0.2689410229233691,1.0
93,8,0.6680142161283004,0.7459632141145209,0.07794899798622057,0.038974498993110285,0.020743019394087254,0.9235635646707587,0.21454772858471305,1.0
