method,checkpoint,repeat,per_query_shots,readout_error,mitigation,offline_quantum_shots,fusion_weight,mean_oracle_sigma,mae_F_e,rmse_F_e,bias_F_e,pearson
measurement_conditioned_hybrid,bidir_seed0,0,64,0.01,calibrated_symmetric,8192,0.6041995615555866,,0.05500429975832287,0.06912707964443483,0.010142521811451357,0.9385127841302097
measurement_conditioned_hybrid,bidir_seed1,0,64,0.01,none,8192,0.6041612509755366,,0.05515157768458883,0.06940994855553315,0.0057107281091172395,0.9371499181259244
measurement_conditioned_hybrid,bidir_seed1,0,64,0.01,calibrated_symmetric,8192,0.6108039019743554,,0.055558313508099665,0.0698230028540419,0.01095429741824021,0.9374297782446426
measurement_conditioned_hybrid,bidir_seed2,0,64,0.01,none,8192,0.5964470439722799,,0.05455263272431992,0.06868326068505892,0.005046550382180716,0.9383627060835064
measurement_conditioned_hybrid,bidir_seed2,0,64,0.01,calibrated_symmetric,8192,0.6034352483067001,,0.05495684821845744,0.06907831064450334,0.010228247737366204,0.9386311652401014
measurement_conditioned_hybrid,bidir_seed3,0,64,0.01,none,8192,0.6084388390577664,,0.05462723496345174,0.0686440705575075,0.004342915327015247,0.9383435351187376
measurement_conditioned_hybrid,bidir_seed3,0,64,0.01,calibrated_symmetric,8192,0.6150604781835469,,0.05501349984427964,0.06904380421022378,0.009645982629939652,0.9385406582132458
measurement_conditioned_hybrid,bidir_seed4,0,64,0.01,none,8192,0.5971044428121322,,0.054510473720561496,0.06861206910895797,0.004949663536487389,0.9384962078109704
measurement_conditioned_hybrid,bidir_seed4,0,64,0.01,calibrated_symmetric,8192,0.6040302965392667,,0.05490999936188983,0.0690024789804436,0.01014000885691688,0.9387461835516525
stratified_dfe,none,0,64,0.03,none,0,1.0,0.08670822414754802,0.072388950836963,0.09126358803127965,-0.02892355648209415,0.9088354666463162
stratified_dfe,none,0,64,0.03,calibrated_symmetric,0,1.0,0.09224279164632768,0.07278081347820045,0.09136888174840947,-0.0022313428612734726,0.9088354666463166
measurement_conditioned_hybrid,bidir_seed0,0,64,0.03,none,8192,0.6128731980679417,,0.05764056694766506,0.07195995333904237,-0.008437707894678374,0.9330277103842735
measurement_conditioned_hybrid,bidir_seed0,0,64,0.03,calibrated_symmetric,8192,0.5943016725251147,,0.05713800084787986,0.07178694373114339,0.008409292625596062,0.9329883991898722
measurement_conditioned_hybrid,bidir_seed1,0,64,0.03,none,8192,0.61932288995722,,0.05812897257077483,0.07257449712573598,-0.007836883039457504,0.9317524696435627
measurement_conditioned_hybrid,bidir_seed1,0,64,0.03,calibrated_symmetric,8192,0.6003730407817425,,0.05765829544444554,0.07253562887362158,0.009239237196446076,0.9316985141187045
measurement_conditioned_hybrid,bidir_seed2,0,64,0.03,none,8192,0.6135681315715823,,0.057580488045122426,0.07186823300131373,-0.008408398723299794,0.9331557942385272
measurement_conditioned_hybrid,bidir_seed2,0,64,0.03,calibrated_symmetric,8192,0.5947352723603763,,0.05710270013713252,0.07173554449882937,0.00846729934166996,0.9331150568042839
measurement_conditioned_hybrid,bidir_seed3,0,64,0.03,none,8192,0.6274069833530774,,0.057890848033574104,0.07215677203266026,-0.009447416441929129,0.9328163131324902
measurement_conditioned_hybrid,bidir_seed3,0,64,0.03,calibrated_symmetric,8192,0.6073061313674515,,0.05728471569508484,0.07183097351870886,0.00781516793089627,0.9327936906176172
measurement_conditioned_hybrid,bidir_seed4,0,64,0.03,none,8192,0.6132366802119112,,0.05756331157107722,0.07181748338610171,-0.0084633255681093,0.9333063816691229
measurement_conditioned_hybrid,bidir_seed4,0,64,0.03,calibrated_symmetric,8192,0.5945851793002582,,0.05702960556539736,0.07164152195327217,0.008395190219923904,0.9332718141173679
stratified_dfe,none,0,64,0.05,none,0,1.0,0.09055744092964942,0.08269673862331917,0.10340208111193382,-0.04426953862495129,0.8898853454084266
stratified_dfe,none,0,64,0.05,calibrated_symmetric,0,1.0,0.10061937881072158,0.08111392343835659,0.1013544767780766,0.00043962831728856794,0.8899161620814087
measurement_conditioned_hybrid,bidir_seed0,0,64,0.05,none,8192,0.5972894332873694,,0.06328662557246968,0.07863359269140316,-0.016839798447497868,0.9225869704638866
measurement_conditioned_hybrid,bidir_seed0,0,64,0.05,calibrated_symmetric,8192,0.5849052158907165,,0.061299534670478086,0.07722750048059747,0.010176400110654842,0.922520596445789
measurement_conditioned_hybrid,bidir_seed1,0,64,0.05,none,8192,0.6060058839074431,,0.06391223696283775,0.0793796156159739,-0.016461206815700704,0.9208522276724187
measurement_conditioned_hybrid,bidir_seed1,0,64,0.05,calibrated_symmetric,8192,0.5924444286681361,,0.06196906526512429,0.07812244410191556,0.011006684304649518,0.9208136809108084
measurement_conditioned_hybrid,bidir_seed2,0,64,0.05,none,8192,0.5970414638371642,,0.06317403300648376,0.07850184692796923,-0.016753681451492638,0.9227767960153491
measurement_conditioned_hybrid,bidir_seed2,0,64,0.05,calibrated_symmetric,8192,0.5846779030494519,,0.06124030620126648,0.07716383618483266,0.010253050427607501,0.9227100597079726
measurement_conditioned_hybrid,bidir_seed3,0,64,0.05,none,8192,0.6106319685423957,,0.06361618438327561,0.07893505877171826,-0.018003023566033012,0.9224317411594996
measurement_conditioned_hybrid,bidir_seed3,0,64,0.05,calibrated_symmetric,8192,0.5964253522709494,,0.06143242025603459,0.0772853741360203,0.009644583722597064,0.922306458668564
measurement_conditioned_hybrid,bidir_seed4,0,64,0.05,none,8192,0.5983096340884937,,0.06320386403287363,0.07852530113017848,-0.016916348448121163,0.9228376024553911
measurement_conditioned_hybrid,bidir_seed4,0,64,0.05,calibrated_symmetric,8192,0.5857755819048821,,0.061220063419267064,0.07712289324870848,0.010148866416935975,0.9227494658963826
stratified_dfe,none,1,32,0.0,none,0,1.0,0.11340915758250834,0.09078463592884382,0.11475685489333705,0.0013731325060010902,0.8653185407935409
stratified_dfe,none,1,32,0.0,calibrated_symmetric,0,1.0,0.11340915758250834,0.09078463592884382,0.11475685489333705,0.0013731325060010902,0.8653185407935409
measurement_conditioned_hybrid,bidir_seed0,1,32,0.0,none,6144,0.427264500315116,,0.06381010735226805,0.08200013301279167,0.006727118817921314,0.9111240446877058
measurement_conditioned_hybrid,bidir_seed0,1,32,0.0,calibrated_symmetric,6144,0.427264500315116,,0.06381010735226805,0.08200013301279167,0.006727118817921314,0.9111240446877058
measurement_conditioned_hybrid,bidir_seed1,1,32,0.0,none,6144,0.4385753687400795,,0.06458506796240657,0.08300128157692672,0.007968521938305675,0.9091262245445986
measurement_conditioned_hybrid,bidir_seed1,1,32,0.0,calibrated_symmetric,6144,0.4385753687400795,,0.06458506796240657,0.08300128157692672,0.007968521938305675,0.9091262245445986
measurement_conditioned_hybrid,bidir_seed2,1,32,0.0,none,6144,0.4222655584731639,,0.06377398654733593,0.08202240369392855,0.006887907225773334,0.9110611696572859
measurement_conditioned_hybrid,bidir_seed2,1,32,0.0,calibrated_symmetric,6144,0.4222655584731639,,0.06377398654733593,0.08202240369392855,0.006887907225773334,0.9110611696572859
measurement_conditioned_hybrid,bidir_seed3,1,32,0.0,none,6144,0.43529415645473035,,0.06398102393909226,0.08196177815030217,0.006327123824948993,0.9110971747210619
measurement_conditioned_hybrid,bidir_seed3,1,32,0.0,calibrated_symmetric,6144,0.43529415645473035,,0.06398102393909226,0.08196177815030217,0.006327123824948993,0.9110971747210619
measurement_conditioned_hybrid,bidir_seed4,1,32,0.0,none,6144,0.42578541722533775,,0.0636080784590769,0.08175281195792641,0.00673754908840352,0.9116977678297977
measurement_conditioned_hybrid,bidir_seed4,1,32,0.0,calibrated_symmetric,6144,0.42578541722533775,,0.0636080784590769,0.08175281195792641,0.00673754908840352,0.9116977678297977
stratified_dfe,none,1,32,0.01,none,0,1.0,0.11663906062234776,0.09337772365053376,0.11648636540523266,-0.01087265122415764,0.8581644775200342
stratified_dfe,none,1,32,0.01,calibrated_symmetric,0,1.0,0.11901944961464057,0.09481317047793013,0.11818748012751919,-0.0020256972640021378,0.8582248584428473
measurement_conditioned_hybrid,bidir_seed0,1,32,0.01,none,6144,0.4009670640414149,,0.06562297834677558,0.08393970173306754,0.0019882091746749033,0.9062762186536544
measurement_conditioned_hybrid,bidir_seed0,1,32,0.01,calibrated_symmetric,6144,0.3933742321968668,,0.06535558315075314,0.08409862702714561,0.005654152547145788,0.9061100725026829
measurement_conditioned_hybrid,bidir_seed1,1,32,0.01,none,6144,0.4125410598115551,,0.06645125682180952,0.08499215719481078,0.003145736320298729,0.9039442254430325
measurement_conditioned_hybrid,bidir_seed1,1,32,0.01,calibrated_symmetric,6144,0.40473358558642797,,0.06622469426108196,0.08520536549304573,0.00693617362173024,0.9037658582048964
measurement_conditioned_hybrid,bidir_seed2,1,32,0.01,none,6144,0.39599050122618745,,0.06554108275787782,0.08394975459439823,0.002215843282564865,0.9061931182140117
measurement_conditioned_hybrid,bidir_seed2,1,32,0.01,calibrated_symmetric,6144,0.3885175604682772,,0.06527552574463462,0.08412432139154358,0.005837432047844134,0.9060229219249227
measurement_conditioned_hybrid,bidir_seed3,1,32,0.01,none,6144,0.4092694751158198,,0.06570446865087137,0.08380087861606202,0.0014674759051722314,0.9065377112414496
measurement_conditioned_hybrid,bidir_seed3,1,32,0.01,calibrated_symmetric,6144,0.40163320014105075,,0.06541735438319955,0.08393837836260852,0.005203466726313741,0.906385471433038
measurement_conditioned_hybrid,bidir_seed4,1,32,0.01,none,6144,0.4005721781539665,,0.06540769032869152,0.08368145701139147,0.0019932642763182194,0.9068793866767955
measurement_conditioned_hybrid,bidir_seed4,1,32,0.01,calibrated_symmetric,6144,0.3930650631155354,,0.0651425133971392,0.08383702191848959,0.005654545098705179,0.9067230230215847
stratified_dfe,none,1,32,0.03,none,0,1.0,0.1226239465587487,0.10004071149575923,0.1250359096890901,-0.027644724636856053,0.8388691374968635
stratified_dfe,none,1,32,0.03,calibrated_symmetric,0,1.0,0.1304510069773922,0.10305891482081492,0.1290440884883372,-0.0009658682538773282,0.8389850859308335
measurement_conditioned_hybrid,bidir_seed0,1,32,0.03,none,6144,0.4183440281361642,,0.06851344159954335,0.08582286404641498,-0.005504027180121892,0.9021602685940361
measurement_conditioned_hybrid,bidir_seed0,1,32,0.03,calibrated_symmetric,6144,0.38968681827605434,,0.06767356374230862,0.08586768269038622,0.006030430499954717,0.9017183395544778
measurement_conditioned_hybrid,bidir_seed1,1,32,0.03,none,6144,0.43005171248369684,,0.06941468654802722,0.08692672478682904,-0.004590512914222335,0.8993936243705755
measurement_conditioned_hybrid,bidir_seed1,1,32,0.03,calibrated_symmetric,6144,0.4003867434911868,,0.06866864387077307,0.08712155783334247,0.0073404035174822364,0.8989214578601467
measurement_conditioned_hybrid,bidir_seed2,1,32,0.03,none,6144,0.41350478146102304,,0.06839376275835796,0.08573731329283511,-0.005200552119781403,0.9022542546250577
measurement_conditioned_hybrid,bidir_seed2,1,32,0.03,calibrated_symmetric,6144,0.3854240206035649,,0.06761650727698344,0.08584414069491568,0.006203074472255909,0.9017790977847796
measurement_conditioned_hybrid,bidir_seed3,1,32,0.03,none,6144,0.4253034626714635,,0.06866148759841613,0.08580289033290968,-0.006104626893351584,0.902277709740347
measurement_conditioned_hybrid,bidir_seed3,1,32,0.03,calibrated_symmetric,6144,0.3960297365382027,,0.06778349008379017,0.0857671365859822,0.005606552720963164,0.9018801935920416
measurement_conditioned_hybrid,bidir_seed4,1,32,0.03,none,6144,0.4167464348523418,,0.06833503271024373,0.08560777963083013,-0.005445515159117015,0.9026731324771936
measurement_conditioned_hybrid,bidir_seed4,1,32,0.03,calibrated_symmetric,6144,0.3881790321045445,,0.0674901625893976,0.08565206600494922,0.006044961481798075,0.9022443626903293
stratified_dfe,none,1,32,0.05,none,0,1.0,0.12806756113651066,0.10892228248329568,0.13685787851093673,-0.0453313565813005,0.8098698639947151
stratified_dfe,none,1,32,0.05,calibrated_symmetric,0,1.0,0.14229729015167847,0.11282796996035425,0.14082299262755196,-0.0009761289578437042,0.8101656354118306
measurement_conditioned_hybrid,bidir_seed0,1,32,0.05,none,6144,0.32201019380192647,,0.07266512061897566,0.09156462563294147,-0.007552891910806916,0.8892215640678803
measurement_conditioned_hybrid,bidir_seed0,1,32,0.05,calibrated_symmetric,6144,0.2882243799992544,,0.07014326733332456,0.09145480453161094,0.007208781982410048,0.888226054857845
measurement_conditioned_hybrid,bidir_seed1,1,32,0.05,none,6144,0.33601422700882977,,0.07375024774849595,0.09273945951519275,-0.006754388984314241,0.8861678508264149
measurement_conditioned_hybrid,bidir_seed1,1,32,0.05,calibrated_symmetric,6144,0.3008167362359366,,0.07127035099582542,0.09280072456738302,0.00873301522858946,0.8851090609400187
measurement_conditioned_hybrid,bidir_seed2,1,32,0.05,none,6144,0.3143126417147657,,0.07256052210023663,0.09157368758386009,-0.006980684669490578,0.8888852403198176
measurement_conditioned_hybrid,bidir_seed2,1,32,0.05,calibrated_symmetric,6144,0.2811162624539984,,0.07015536426695443,0.0915869548275156,0.0074373289325627735,0.8878360560207685
measurement_conditioned_hybrid,bidir_seed3,1,32,0.05,none,6144,0.32395704034750955,,0.07286772734804045,0.09170462246234934,-0.008052372326872132,0.888980567215958
measurement_conditioned_hybrid,bidir_seed3,1,32,0.05,calibrated_symmetric,6144,0.28884539544223753,,0.07034799302528873,0.09155966749863843,0.00679201403690402,0.8878783692237847
measurement_conditioned_hybrid,bidir_seed4,1,32,0.05,none,6144,0.32003359529413383,,0.0724960256581863,0.09132362700006483,-0.0074447415257691135,0.889825388227426
measurement_conditioned_hybrid,bidir_seed4,1,32,0.05,calibrated_symmetric,6144,0.2864126242205716,,0.06998321835795587,0.09121993792149752,0.007226640247435393,0.8888469116648117
stratified_dfe,none,1,64,0.0,none,0,1.0,0.08019238437524542,0.06502421079979588,0.08220355510216995,0.0006135838948899792,0.9237557854219576
stratified_dfe,none,1,64,0.0,calibrated_symmetric,0,1.0,0.08019238437524542,0.06502421079979588,0.08220355510216995,0.0006135838948899792,0.9237557854219576
measurement_conditioned_hybrid,bidir_seed0,1,64,0.0,none,8192,0.6014240933238048,,0.05329981245921681,0.06746005270075214,0.004642247425402089,0.9406365214686018
measurement_conditioned_hybrid,bidir_seed0,1,64,0.0,calibrated_symmetric,8192,0.6014240933238048,,0.05329981245921681,0.06746005270075214,0.004642247425402089,0.9406365214686018
measurement_conditioned_hybrid,bidir_seed1,1,64,0.0,none,8192,0.6098248571491189,,0.05382271662111327,0.06810317624688558,0.005493560607666201,0.939610830760161
measurement_conditioned_hybrid,bidir_seed1,1,64,0.0,calibrated_symmetric,8192,0.6098248571491189,,0.05382271662111327,0.06810317624688558,0.005493560607666201,0.939610830760161
measurement_conditioned_hybrid,bidir_seed2,1,64,0.0,none,8192,0.5962045625349767,,0.05329921529029061,0.06748142238552665,0.004774722921276529,0.9406019411308391
measurement_conditioned_hybrid,bidir_seed2,1,64,0.0,calibrated_symmetric,8192,0.5962045625349767,,0.05329921529029061,0.06748142238552665,0.004774722921276529,0.9406019411308391
measurement_conditioned_hybrid,bidir_seed3,1,64,0.0,none,8192,0.6049222865495131,,0.05332819448161181,0.06737531881010352,0.004379560337296866,0.9407534983209525
measurement_conditioned_hybrid,bidir_seed3,1,64,0.0,calibrated_symmetric,8192,0.6049222865495131,,0.05332819448161181,0.06737531881010352,0.004379560337296866,0.9407534983209525
measurement_conditioned_hybrid,bidir_seed4,1,64,0.0,none,8192,0.5996466043388986,,0.053199575669880976,0.06732228302884995,0.004657845658797971,0.9408929667165135
measurement_conditioned_hybrid,bidir_seed4,1,64,0.0,calibrated_symmetric,8192,0.5996466043388986,,0.053199575669880976,0.06732228302884995,0.004657845658797971,0.9408929667165135
stratified_dfe,none,1,64,0.01,none,0,1.0,0.08247627071729091,0.0648810998167074,0.08166157925952641,-0.010167356085268751,0.9241022746673696
stratified_dfe,none,1,64,0.01,calibrated_symmetric,0,1.0,0.08415945991560297,0.06585630010267413,0.08267869971694713,-0.0012503313140507255,0.9241022746673702
measurement_conditioned_hybrid,bidir_seed0,1,64,0.01,none,8192,0.6387699789138944,,0.053469638930887214,0.06698190263499286,-0.0026217723096893693,0.9412529442566456
measurement_conditioned_hybrid,bidir_seed0,1,64,0.01,calibrated_symmetric,8192,0.6234444072704322,,0.05348100303842127,0.06705108251649515,0.003257626409844802,0.9411028560935054
measurement_conditioned_hybrid,bidir_seed1,1,64,0.01,none,8192,0.6505586640609479,,0.05381721042513051,0.06741296520505746,-0.002029536893523557,0.9404415246457176
measurement_conditioned_hybrid,bidir_seed1,1,64,0.01,calibrated_symmetric,8192,0.6349299125031932,,0.0538628855267489,0.06753648214555466,0.003996112543674408,0.94029468659655
measurement_conditioned_hybrid,bidir_seed2,1,64,0.01,none,8192,0.6325117194624051,,0.05345213233638342,0.06697738364303946,-0.0024184956467236235,0.9412449358715516
measurement_conditioned_hybrid,bidir_seed2,1,64,0.01,calibrated_symmetric,8192,0.6174307889548531,,0.053476113037569904,0.06707665615954277,0.0034051465984387508,0.9410685558493744
measurement_conditioned_hybrid,bidir_seed3,1,64,0.01,none,8192,0.6440145175019786,,0.053578023356180456,0.06710629854454625,-0.002936158134828097,0.9410304592971689
