split,model,seed_index,nominal_level,empirical_coverage
Length OOD,FidelityNO (1M),2,0.3,1.0
Length OOD,FidelityNO (1M),2,0.4,1.0
Length OOD,FidelityNO (1M),2,0.5,1.0
Length OOD,FidelityNO (1M),2,0.6,1.0
Length OOD,FidelityNO (1M),2,0.7,1.0
Length OOD,FidelityNO (1M),2,0.8,1.0
Length OOD,FidelityNO (1M),2,0.9,1.0
Length OOD,FidelityNO (1M),3,0.1,1.0
Length OOD,FidelityNO (1M),3,0.2,1.0
Length OOD,FidelityNO (1M),3,0.3,1.0
Length OOD,FidelityNO (1M),3,0.4,1.0
Length OOD,FidelityNO (1M),3,0.5,1.0
Length OOD,FidelityNO (1M),3,0.6,1.0
Length OOD,FidelityNO (1M),3,0.7,1.0
Length OOD,FidelityNO (1M),3,0.8,1.0
Length OOD,FidelityNO (1M),3,0.9,1.0
Length OOD,FidelityNO (1M),4,0.1,1.0
Length OOD,FidelityNO (1M),4,0.2,1.0
Length OOD,FidelityNO (1M),4,0.3,1.0
Length OOD,FidelityNO (1M),4,0.4,1.0
Length OOD,FidelityNO (1M),4,0.5,1.0
Length OOD,FidelityNO (1M),4,0.6,1.0
Length OOD,FidelityNO (1M),4,0.7,1.0
Length OOD,FidelityNO (1M),4,0.8,1.0
Length OOD,FidelityNO (1M),4,0.9,1.0
ID,Generic-GNN,0,0.1,0.096
ID,Generic-GNN,0,0.2,0.1972
ID,Generic-GNN,0,0.3,0.3068
ID,Generic-GNN,0,0.4,0.4012
ID,Generic-GNN,0,0.5,0.4928
ID,Generic-GNN,0,0.6,0.8074
ID,Generic-GNN,0,0.7,0.8534
ID,Generic-GNN,0,0.8,0.8988
ID,Generic-GNN,0,0.9,0.952
ID,Generic-GNN,1,0.1,0.0986
ID,Generic-GNN,1,0.2,0.219
ID,Generic-GNN,1,0.3,0.3004
ID,Generic-GNN,1,0.4,0.4028
ID,Generic-GNN,1,0.5,0.5086
ID,Generic-GNN,1,0.6,0.6082
ID,Generic-GNN,1,0.7,0.7154
ID,Generic-GNN,1,0.8,0.8094
ID,Generic-GNN,1,0.9,0.9042
ID,Generic-GNN,2,0.1,0.0974
ID,Generic-GNN,2,0.2,0.1898
ID,Generic-GNN,2,0.3,0.2994
ID,Generic-GNN,2,0.4,0.4016
ID,Generic-GNN,2,0.5,0.4984
ID,Generic-GNN,2,0.6,0.5926
ID,Generic-GNN,2,0.7,0.696
ID,Generic-GNN,2,0.8,0.8
ID,Generic-GNN,2,0.9,0.903
ID,Generic-GNN,3,0.1,0.0984
ID,Generic-GNN,3,0.2,0.2094
ID,Generic-GNN,3,0.3,0.3178
ID,Generic-GNN,3,0.4,0.4048
ID,Generic-GNN,3,0.5,0.5002
ID,Generic-GNN,3,0.6,0.5976
ID,Generic-GNN,3,0.7,0.7058
ID,Generic-GNN,3,0.8,0.8044
ID,Generic-GNN,3,0.9,0.9012
ID,Generic-GNN,4,0.1,0.1144
ID,Generic-GNN,4,0.2,0.214
ID,Generic-GNN,4,0.3,0.3126
ID,Generic-GNN,4,0.4,0.4086
ID,Generic-GNN,4,0.5,0.51
ID,Generic-GNN,4,0.6,0.6048
ID,Generic-GNN,4,0.7,0.696
ID,Generic-GNN,4,0.8,0.7942
ID,Generic-GNN,4,0.9,0.902
Length OOD,Generic-GNN,0,0.1,0.7328519855595668
Length OOD,Generic-GNN,0,0.2,0.9942839951865222
Length OOD,Generic-GNN,0,0.3,0.9969915764139591
Length OOD,Generic-GNN,0,0.4,0.9984957882069796
Length OOD,Generic-GNN,0,0.5,0.9984957882069796
Length OOD,Generic-GNN,0,0.6,1.0
Length OOD,Generic-GNN,0,0.7,1.0
Length OOD,Generic-GNN,0,0.8,1.0
Length OOD,Generic-GNN,0,0.9,1.0
Length OOD,Generic-GNN,1,0.1,0.8474729241877257
Length OOD,Generic-GNN,1,0.2,0.8574007220216606
Length OOD,Generic-GNN,1,0.3,0.9963898916967509
Length OOD,Generic-GNN,1,0.4,0.9981949458483754
Length OOD,Generic-GNN,1,0.5,0.9993983152827918
Length OOD,Generic-GNN,1,0.6,0.9996991576413959
Length OOD,Generic-GNN,1,0.7,0.9996991576413959
Length OOD,Generic-GNN,1,0.8,1.0
Length OOD,Generic-GNN,1,0.9,1.0
Length OOD,Generic-GNN,2,0.1,0.8525872442839952
Length OOD,Generic-GNN,2,0.2,0.8892900120336944
Length OOD,Generic-GNN,2,0.3,0.9789410348977136
Length OOD,Generic-GNN,2,0.4,0.9846570397111913
Length OOD,Generic-GNN,2,0.5,0.9924789410348978
Length OOD,Generic-GNN,2,0.6,0.9930806257521059
Length OOD,Generic-GNN,2,0.7,0.9948856799037304
Length OOD,Generic-GNN,2,0.8,0.996690734055355
Length OOD,Generic-GNN,2,0.9,0.9993983152827918
Length OOD,Generic-GNN,3,0.1,0.8820697954271961
Length OOD,Generic-GNN,3,0.2,0.8868832731648616
Length OOD,Generic-GNN,3,0.3,0.9819494584837545
Length OOD,Generic-GNN,3,0.4,0.9846570397111913
