model,n_calib,shots_per_label,total_calibration_shots,repeat,mae_noisy_calibration,mae_exact_calibration,calibration_noise_penalty
bidir_seed4,32,32,1024,1,0.08673186567639676,0.08773175903834711,-0.0009998933619503464
bidir_seed0,64,32,2048,1,0.09009536892401443,0.08606220456904624,0.004033164354968186
bidir_seed1,64,32,2048,1,0.09258675801330454,0.08889471167863064,0.003692046334673904
bidir_seed2,64,32,2048,1,0.08996820381880923,0.08601845437757337,0.003949749441235856
bidir_seed3,64,32,2048,1,0.09087407905766492,0.0865502101432856,0.004323868914379331
bidir_seed4,64,32,2048,1,0.08935689243473777,0.08536095832382512,0.003995934110912647
bidir_seed0,128,32,4096,1,0.09303423815786001,0.08804321046293469,0.004991027694925321
bidir_seed1,128,32,4096,1,0.09546798567107899,0.09074105885602228,0.004726926815056709
bidir_seed2,128,32,4096,1,0.09280254187662254,0.08796645626239247,0.0048360856142300734
bidir_seed3,128,32,4096,1,0.09342360971103755,0.08834326005394762,0.005080349657089936
bidir_seed4,128,32,4096,1,0.0921581110320617,0.08711874052689295,0.005039370505168755
bidir_seed0,16,32,512,2,0.08395714340658982,0.09299630234517299,-0.009039158938583175
bidir_seed1,16,32,512,2,0.08621866692685211,0.0950429130130158,-0.008824246086163695
bidir_seed2,16,32,512,2,0.08385722289458317,0.09255976679808248,-0.00870254390349931
bidir_seed3,16,32,512,2,0.08415173880100153,0.09357931645298719,-0.009427577651985652
bidir_seed4,16,32,512,2,0.08338324496215735,0.09212245739356438,-0.008739212431407031
bidir_seed0,32,32,1024,2,0.08578934868309337,0.08852378859881133,-0.002734439915717951
bidir_seed1,32,32,1024,2,0.08883028963675367,0.09139386858769387,-0.0025635789509401985
bidir_seed2,32,32,1024,2,0.08554018104211676,0.08815827118460912,-0.0026180901424923547
bidir_seed3,32,32,1024,2,0.08537828316578241,0.08811942765793149,-0.0027411444921490724
bidir_seed4,32,32,1024,2,0.08513650189170739,0.08773175903834711,-0.002595257146639718
bidir_seed0,64,32,2048,2,0.08793911219641676,0.08606220456904624,0.0018769076273705138
bidir_seed1,64,32,2048,2,0.09110006832916695,0.08889471167863064,0.002205356650536311
bidir_seed2,64,32,2048,2,0.0878248320880869,0.08601845437757337,0.0018063777105135348
bidir_seed3,64,32,2048,2,0.08816470137881122,0.0865502101432856,0.0016144912355256225
bidir_seed4,64,32,2048,2,0.08715693159018394,0.08536095832382512,0.0017959732663588163
bidir_seed0,128,32,4096,2,0.08525844787342549,0.08804321046293469,-0.0027847625895092015
bidir_seed1,128,32,4096,2,0.08786356824598061,0.09074105885602228,-0.0028774906100416664
bidir_seed2,128,32,4096,2,0.08507742642300402,0.08796645626239247,-0.002889029839388449
bidir_seed3,128,32,4096,2,0.08541153775170811,0.08834326005394762,-0.002931722302239509
bidir_seed4,128,32,4096,2,0.08435021986722367,0.08711874052689295,-0.002768520659669274
bidir_seed0,16,32,512,3,0.11319502744809778,0.09299630234517299,0.020198725102924794
bidir_seed1,16,32,512,3,0.11552054720434508,0.0950429130130158,0.02047763419132928
bidir_seed2,16,32,512,3,0.11283696433804939,0.09255976679808248,0.020277197539966915
bidir_seed3,16,32,512,3,0.11462585670411889,0.09357931645298719,0.0210465402511317
bidir_seed4,16,32,512,3,0.11220172087238667,0.09212245739356438,0.020079263478822287
bidir_seed0,32,32,1024,3,0.10797726173259653,0.08852378859881133,0.019453473133785204
bidir_seed1,32,32,1024,3,0.1107720709567469,0.09139386858769387,0.019378202369053035
bidir_seed2,32,32,1024,3,0.1074836290372303,0.08815827118460912,0.019325357852621183
bidir_seed3,32,32,1024,3,0.10790015334852769,0.08811942765793149,0.019780725690596204
bidir_seed4,32,32,1024,3,0.1073094176965914,0.08773175903834711,0.01957765865824429
bidir_seed0,64,32,2048,3,0.10025034587651127,0.08606220456904624,0.014188141307465027
bidir_seed1,64,32,2048,3,0.10298022924623045,0.08889471167863064,0.014085517567599806
bidir_seed2,64,32,2048,3,0.10016151203988578,0.08601845437757337,0.014143057662312414
bidir_seed3,64,32,2048,3,0.10069000474035093,0.0865502101432856,0.014139794597065339
bidir_seed4,64,32,2048,3,0.0995794465343221,0.08536095832382512,0.014218488210496982
bidir_seed0,128,32,4096,3,0.09229884664009147,0.08804321046293469,0.0042556361771567824
bidir_seed1,128,32,4096,3,0.09505738618027532,0.09074105885602228,0.004316327324253036
bidir_seed2,128,32,4096,3,0.09226370264281132,0.08796645626239247,0.004297246380418854
bidir_seed3,128,32,4096,3,0.09268499318523651,0.08834326005394762,0.004341733131288897
bidir_seed4,128,32,4096,3,0.09154480698573741,0.08711874052689295,0.004426066458844469
bidir_seed0,16,32,512,4,0.09118431916398215,0.09299630234517299,-0.0018119831811908432
bidir_seed1,16,32,512,4,0.09298946445099342,0.0950429130130158,-0.0020534485620223863
bidir_seed2,16,32,512,4,0.09069346347396126,0.09255976679808248,-0.0018663033241212157
bidir_seed3,16,32,512,4,0.09113461599515736,0.09357931645298719,-0.0024447004578298237
bidir_seed4,16,32,512,4,0.09025337112946694,0.09212245739356438,-0.0018690862640974443
bidir_seed0,32,32,1024,4,0.094540007477124,0.08852378859881133,0.006016218878312676
bidir_seed1,32,32,1024,4,0.09793307318748139,0.09139386858769387,0.006539204599787518
bidir_seed2,32,32,1024,4,0.09415759479297003,0.08815827118460912,0.005999323608360918
bidir_seed3,32,32,1024,4,0.09367398289205187,0.08811942765793149,0.0055545552341203785
bidir_seed4,32,32,1024,4,0.09375705136421666,0.08773175903834711,0.006025292325869555
bidir_seed0,64,32,2048,4,0.08480708492770445,0.08606220456904624,-0.001255119641341798
bidir_seed1,64,32,2048,4,0.0877491739829645,0.08889471167863064,-0.0011455376956661378
bidir_seed2,64,32,2048,4,0.08471607576490668,0.08601845437757337,-0.001302378612666688
bidir_seed3,64,32,2048,4,0.08511500736298429,0.0865502101432856,-0.0014352027803013062
bidir_seed4,64,32,2048,4,0.08405704621585862,0.08536095832382512,-0.0013039121079665011
bidir_seed0,128,32,4096,4,0.08568996864444807,0.08804321046293469,-0.0023532418184866177
bidir_seed1,128,32,4096,4,0.08847829552966842,0.09074105885602228,-0.0022627633263538616
bidir_seed2,128,32,4096,4,0.08564710813972606,0.08796645626239247,-0.0023193481226664037
bidir_seed3,128,32,4096,4,0.08581885309668467,0.08834326005394762,-0.0025244069572629424
bidir_seed4,128,32,4096,4,0.08470238218788771,0.08711874052689295,-0.002416358339005234
bidir_seed0,16,64,1024,0,0.08900681667043238,0.09299630234517299,-0.0039894856747406116
bidir_seed1,16,64,1024,0,0.09114560356478808,0.0950429130130158,-0.0038973094482277204
bidir_seed2,16,64,1024,0,0.08877062085149617,0.09255976679808248,-0.003789145946586303
bidir_seed3,16,64,1024,0,0.09010992741391156,0.09357931645298719,-0.003469389039075621
bidir_seed4,16,64,1024,0,0.0881759777389994,0.09212245739356438,-0.003946479654564974
bidir_seed0,32,64,2048,0,0.08599019300633357,0.08852378859881133,-0.002533595592477761
bidir_seed1,32,64,2048,0,0.08818953742365197,0.09139386858769387,-0.003204331164041896
bidir_seed2,32,64,2048,0,0.08567299746001815,0.08815827118460912,-0.0024852737245909667
bidir_seed3,32,64,2048,0,0.08552152719487961,0.08811942765793149,-0.002597900463051875
bidir_seed4,32,64,2048,0,0.08532337118874693,0.08773175903834711,-0.00240838784960018
bidir_seed0,64,64,4096,0,0.08367544781843841,0.08606220456904624,-0.0023867567506078297
