method,prior,checkpoint,calibration,repeat,n_calib,n_test,per_query_shots,offline_quantum_shots,fusion_weight,mean_oracle_dfe_sigma,mae_F_e,rmse_F_e,bias_F_e,pearson
marginal_only_prior,bidir_affine,bidir_seed1,exact_labels,4,64,4032,0,0,0.0,,0.09152094860546377,0.1196573242376137,0.020654055763288597,0.8063439617604998
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,exact_labels,4,64,4032,4,256,0.12454038214035681,,0.08661787428407208,0.11229827449627909,0.01805975226529293,0.8305168240276608
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,exact_labels,4,64,4032,8,512,0.175797007304932,,0.08184492689931361,0.1064693392640345,0.01665412088121705,0.8499486927395707
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,exact_labels,4,64,4032,16,1024,0.3172252860939316,,0.07505150360043185,0.09618790519775691,0.013731221077539166,0.8784180404526025
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,exact_labels,4,64,4032,32,2048,0.42945426543650494,,0.06548391184210188,0.08370194166556037,0.01220069988272827,0.910316371439149
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,exact_labels,4,64,4032,48,3072,0.619532422616792,,0.057842296968385956,0.07262217142418537,0.0064040905475586775,0.9310396863120972
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,exact_labels,4,64,4032,64,4096,0.6959019571537971,,0.05357409683353991,0.06730426266227725,0.006270971753834596,0.9411135935178369
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,exact_labels,4,64,4032,96,6144,0.7934725001270678,,0.04592572859482396,0.057468815993803046,0.002788654568122175,0.9570999791472531
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,exact_labels,4,64,4032,128,8192,0.8303068106031878,,0.04142174461113849,0.05233963243963363,0.004474438692566524,0.9647144474939232
marginal_only_prior,bidir_affine,bidir_seed2,exact_labels,4,64,4032,0,0,0.0,,0.08860800414968968,0.11635029177196006,0.018629886885497025,0.8170118334643706
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,exact_labels,4,64,4032,4,256,0.12178387942346622,,0.08432758795290052,0.10952678941564127,0.016339515296063672,0.8387521648938527
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,exact_labels,4,64,4032,8,512,0.16841004905231957,,0.0799391935627526,0.10415696463774933,0.015138918919197268,0.8561913865009564
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,exact_labels,4,64,4032,16,1024,0.31116917313506737,,0.07362675267655114,0.09437322920991523,0.012469074229394405,0.8826822009755158
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,exact_labels,4,64,4032,32,2048,0.4154353142169888,,0.06458724828112711,0.08265825990104762,0.011293390560262833,0.9122707793184545
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,exact_labels,4,64,4032,48,3072,0.6098739993453455,,0.05726995950754845,0.07189357985007529,0.005836564590693763,0.932360712690444
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,exact_labels,4,64,4032,64,4096,0.6850450348711247,,0.053137182826187485,0.06669801928079261,0.005857843430276659,0.9421437512681363
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,exact_labels,4,64,4032,96,6144,0.781397700412357,,0.04562614118090312,0.05706378416840691,0.002618036310151588,0.9576957961035516
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,exact_labels,4,64,4032,128,8192,0.8214801403044882,,0.04120943068570928,0.05204848897353891,0.004285083594587528,0.9650941503735921
marginal_only_prior,bidir_affine,bidir_seed3,exact_labels,4,64,4032,0,0,0.0,,0.08936944771914437,0.11684975007036921,0.017903013193700117,0.8153198809872293
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,exact_labels,4,64,4032,4,256,0.1258321833371145,,0.0850535054803313,0.10997500741938213,0.01562796984894087,0.8371393835002748
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,exact_labels,4,64,4032,8,512,0.1722647772226396,,0.08057524790816493,0.1045144316793363,0.014457355391938246,0.8550875216523456
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,exact_labels,4,64,4032,16,1024,0.3217501831114787,,0.07401545613711875,0.09453163066265076,0.01176657974190863,0.8820258070144009
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,exact_labels,4,64,4032,32,2048,0.4285987666110144,,0.06479766099011203,0.08254899809202032,0.01064559036065391,0.9122946030813172
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,exact_labels,4,64,4032,48,3072,0.6198815406237594,,0.0574450936259575,0.07201376052979752,0.005350338364718923,0.9320284973002279
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,exact_labels,4,64,4032,64,4096,0.6956989569505193,,0.05323436175498008,0.0668153602826794,0.005438022291832229,0.9418397124628037
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,exact_labels,4,64,4032,96,6144,0.7921433048291602,,0.045719733684326504,0.057193174707614855,0.0022467593996821473,0.9574931216248621
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,exact_labels,4,64,4032,128,8192,0.8288550852699682,,0.041236955615546106,0.0521074850793142,0.0040319005184890865,0.9649857017206246
marginal_only_prior,bidir_affine,bidir_seed4,exact_labels,4,64,4032,0,0,0.0,,0.08865658698570027,0.11616123805236911,0.018454154655091044,0.8179940679468163
measurement_conditioned_hybrid,bidir_affine,bidir_seed4,exact_labels,4,64,4032,4,256,0.1223439651382162,,0.08428765976050023,0.10936198440662204,0.01617474939349531,0.8394590625252311
measurement_conditioned_hybrid,bidir_affine,bidir_seed4,exact_labels,4,64,4032,8,512,0.17008382545183598,,0.07995072816663704,0.10402121809037908,0.014958380226971851,0.8567420889846503
